,Index,title,subjects,contains_profanity
51774,61174,"Dick Merriwell's Day; Or, Iron Nerve",['Baseball -- Juvenile fiction' 'Adventure stories' 'Dime novels' 'PZ'],True
51858,37636,"Charles Lewis Cocke, Founder of Hollins College","['Cocke, Charles Lewis, 1820-1901' 'Hollins College' 'LD']",True
52423,18514,"The Black-Sealed Letter
Or, The Misfortunes of a Canadian Cockney.",['Canadian fiction' 'PS'],True
52651,49547,Twenty Years of Spoof and Bluff,"['Carlton, 1881-1941' 'Magicians -- Great Britain -- Biography' 'GV']",True
52706,70359,"The history of the damnable life and deserved death of Doctor John Faustus, 1592, together with The second report of Faustus, containing his appearances and the deeds of Wagner, 1594.","['Faust, -approximately 1540 -- Legends' 'PT']",True
52829,15,"Moby-Dick; or, The Whale","['Whaling -- Fiction' 'Sea stories' 'Psychological fiction'
 'Ship captains -- Fiction' 'Adventure stories' 'Mentally ill -- Fiction'
 'Ahab, Captain (Fictitious character) -- Fiction' 'Whales -- Fiction'
 'Whaling ships -- Fiction' 'PS']",True
52946,56076,"Travels in Southern Europe and the Levant, 1810-1817
The Journal of C. R. Cockerell, R.A.","['Middle East -- Description and travel'
 'Europe -- Description and travel'
 'Cockerell, C. R. (Charles Robert), 1788-1863' 'D']",True
53249,45618,"Deadwood Dick Jr. Branded; or, Red Rover at Powder Pocket.",['Fiction' 'Western stories' 'PS'],True
53291,23665,The Peacock 'At Home' AND The Butterfly's Ball AND The Fancy Fair,"['Birds -- Juvenile poetry' 'Animals -- Juvenile poetry'
 'Zoo animals -- Juvenile poetry' 'Insects -- Juvenile poetry' 'PZ']",True
53647,33926,"Dick Hamilton's Cadet Days; Or, The Handicap of a Millionaire's Son","['Children of the rich -- Juvenile fiction'
 'Military education -- Juvenile fiction' 'PZ']",True
53784,73377,"Life and bloody career of the executed criminal, James Copeland, the great Southern land pirate","['Copeland, James, 1823-1857' 'Criminals -- Gulf States -- Biography'
 'F296']",True
54602,39297,The red cockade,"['Historical fiction'
 'France -- History -- Revolution, 1789-1799 -- Fiction' 'PR']",True
54808,62168,Asteroid of the Damned,"['Science fiction' 'Short stories' 'Detective and mystery stories'
 'Drug traffic -- Fiction' 'Human-alien encounters -- Fiction'
 'Asteroids -- Fiction' 'PS']",True
54809,17731,"The nigger of the ""Narcissus"" : $b A tale of the forecastle","['Sea stories' 'London (England) -- Fiction' 'Psychological fiction'
 'West Indians -- England -- Fiction'
 'Tuberculosis -- Patients -- Fiction' 'Terminally ill -- Fiction'
 'Ocean travel -- Fiction' 'Black people -- Fiction' 'PR']",True
56356,53133,"The High Toby
Being further chapters in the life and fortunes of Dick Ryder, otherwise Galloping Dick, sometime gentleman of the road","['Adventure stories' 'Brigands and robbers -- Fiction'
 'England -- Social life and customs -- 17th century -- Fiction' 'PR']",True
56382,2701,"Moby Dick; Or, The Whale","['Whaling -- Fiction' 'Sea stories' 'Psychological fiction'
 'Ship captains -- Fiction' 'Adventure stories' 'Mentally ill -- Fiction'
 'Ahab, Captain (Fictitious character) -- Fiction' 'Whales -- Fiction'
 'Whaling ships -- Fiction' 'PS']",True
57480,51448,"The Border and the Buffalo: An Untold Story of the Southwest Plains
The Bloody Border of Missouri and Kansas. The Story of the Slaughter of the Buffalo. Westward among the Big Game and Wild Tribes. A Story of Mountain and Plain","['United States -- History -- Civil War, 1861-1865 -- Underground movements'
 'Indians of North America -- Wars -- 1866-1895'
 'Frontier and pioneer life -- Southwest, New'
 'Southwest, New -- History -- 1848-' 'Cook, John R., 1844-1917'
 'Pioneers -- Southwest, New -- Biography'
 'Pioneers -- Kansas -- Biography' 'Frontier and pioneer life -- Kansas'
 'American bison hunting -- Southwest, New -- History -- 19th century'
 'Kansas -- History -- Civil War, 1861-1865' 'F786']",True
60385,18596,"Ride A Cock-Horse To Banbury Cross & A Farmer Went Trotting Upon His Grey Mare
R. Caldecott's Picture Books","['Picture books for children' 'Nursery rhymes, English' 'PZ']",True
60671,10108,"A Treatise of Daunses, Wherin It is Shewed, That They Are as It Were Accessories and Dependants (Or Thynges Annexed) to Whoredome
Where Also by the Way is Touched and Proued, That Playes Are Ioyned and Knit Togeather in a Rancke or Rowe with Them (1581)","['Theater -- Moral and ethical aspects -- Early works to 1800'
 'Dance -- Moral and ethical aspects -- Early works to 1800' 'PN']",True
60763,74127,"From the Indus to the Tigris : $b A narrative of a journey through the countries of Balochistan, Afghanistan, Khorassan and Iran, in 1872, together with a synoptical grammar and vocabulary of the Brahoe language, and a record of the meteorological observations and altitudes on the march from the Indus to the Tigris","['Iran -- Description and travel' 'Afghanistan -- Description and travel'
 'Balochistan (Pakistan) -- Description and travel'
 'Bellew, H. W. (Henry Walter), 1834-1892' 'Brahui language'
 'Khurasan (Iran) -- Description and travel' 'DS']",True
61959,22921,The Death and Burial of Cock Robin,['Nursery rhymes' 'Cock Robin (Fictitious character) -- Poetry' 'PZ'],True
61997,13911,"Little Journeys to the Homes of the Great - Volume 03
Little Journeys to the Homes of American Statesmen","['Franklin, Benjamin, 1706-1790' 'Statesmen -- United States -- Biography'
 'Adams, John Quincy, 1767-1848'
 'Washington, George, 1732-1799 -- Homes and haunts'
 'Hamilton, Alexander, 1757-1804' 'Adams, Samuel, 1722-1803'
 'Hancock, John, 1737-1793'
 'Jefferson, Thomas, 1743-1826 -- Homes and haunts'
 'Webster, Daniel, 1782-1852' 'Clay, Henry, 1777-1852'
 'Jay, John, 1745-1829' 'Seward, William Henry, 1801-1872'
 'Lincoln, Abraham, 1809-1865 -- Homes and haunts' 'E151']",True
62098,22472,The Book of the Damned,['Meteorology -- Miscellanea' 'Astronomy -- Miscellanea' 'QC'],True
62289,44075,"Embassy to the Eastern Courts of Cochin-China, Siam, and Muscat
In the U. S. Sloop-of-war Peacock, David Geisinger, Commander, During the Years 1832-3-4","['Southeast Asia -- Description and travel' 'Southeast Asia -- Commerce'
 'DS']",True
62360,68698,"Dick and Dr. Dan; Or, the boy monster hunters of the Bad Lands","['Science fiction' 'Plesiosaurus -- Juvenile fiction'
 'Badlands (S.D. and Neb.) -- Juvenile fiction' 'PZ']",True
62529,22477,"Wintry Peacock
From ""The New Decameron"", Volume III.",['Fiction' 'Short stories' 'PR'],True
63861,19554,Dick Lionheart,"['Orphans -- Juvenile fiction' 'Conduct of life -- Juvenile fiction'
 'Boys -- Juvenile fiction' 'PZ']",True
63923,39670,"The Idiot: His Place in Creation, and His Claims on Society",['Stupidity' 'Mental retardation' 'HV' 'RC'],True
63948,29313,"War from the Inside
The Story of the 132nd Regiment Pennsylvania Volunteer Infantry in the War for the Suppression of the Rebellion, 1862-1863","['United States -- History -- Civil War, 1861-1865 -- Personal narratives'
 'United States -- History -- Civil War, 1861-1865 -- Regimental histories'
 'Hitchcock, Frederick L. (Frederick Lyman)'
 'United States. Army. Pennsylvania Infantry Regiment, 132nd (1862-1863) -- Biography'
 'Soldiers -- Pennsylvania -- Biography'
 'Pennsylvania -- History -- Civil War, 1861-1865 -- Personal narratives'
 'Pennsylvania -- History -- Civil War, 1861-1865 -- Regimental histories'
 'E456']",True
64095,48055,The Haunts of Old Cockaigne,['London (England) -- Description and travel' 'DA'],True
64544,12690,"The High School Pitcher; or, Dick & Co. on the Gridley Diamond","['Baseball -- Juvenile fiction' 'School sports -- Juvenile fiction'
 'Teenage boys -- Juvenile fiction' 'PZ']",True
64806,16969,Dick and Brownie,"['Orphans -- Juvenile fiction' 'Didactic fiction'
 'Dogs -- Juvenile fiction' 'Girls -- Conduct of life -- Juvenile fiction'
 'PZ']",True
64886,37049,"Bell's Cathedrals: The Cathedral Church of Lichfield
A Description of Its Fabric and A Brief History of the Espicopal See",['Lichfield Cathedral' 'NA'],True
65161,74357,The whore : $b A poem,"['English poetry -- 18th century' 'Sexual ethics -- Poetry'
 'Prostitutes -- Poetry' 'PR']",True
66115,25682,"Bell's Cathedrals: The Cathedral Church of Gloucester [2nd ed.]
A Description of Its Fabric and A Brief History of the Espicopal See",['Gloucester Cathedral' 'NA'],True
66395,41866,"Dick Merriwell's Trap; Or, The Chap Who Bungled","['Schools -- Juvenile fiction' 'Football -- Juvenile fiction'
 'Boys -- Juvenile fiction' 'Mystery fiction' 'PZ']",True
66541,71201,Betty at St. Benedick's : $b A school story for girls,"['Boarding schools -- England -- Juvenile fiction'
 'Girls -- Conduct of life -- Juvenile fiction'
 'Girl Guides -- Juvenile fiction' 'PZ']",True
66970,23847,"The Peacock and Parrot, on their Tour to Discover the Author of ""The Peacock At Home""","[""Children's poetry"" 'Birds -- Juvenile poetry' 'PZ']",True
67127,6426,"Dick Prescott's First Year at West Point; Or, Two Chums in the Cadet Gray","['College stories' 'United States Military Academy -- Juvenile fiction'
 'Military cadets -- United States -- Juvenile fiction' 'PZ']",True
67213,44263,500 of the Best Cockney War Stories,"['World War, 1914-1918 -- Personal narratives, British'
 'World War, 1914-1918 -- Anecdotes' 'D501']",True
67256,11074,The Damned,['Horror tales' 'PR'],True
67741,133,The Damnation of Theron Ware,"['Psychological fiction' 'Clergy -- Fiction' 'New York (State) -- Fiction'
 'Belief and doubt -- Fiction' 'Methodists -- Fiction' 'PS']",True
68299,55966,In Taunton town : a story of the rebellion of James Duke of Monmouth in 1685,"['Biographical fiction' 'Courage -- Juvenile fiction'
 'Prisoners -- Juvenile fiction' 'Loyalty -- Juvenile fiction'
 'Monmouth, James Scott, Duke of, 1649-1685 -- Juvenile fiction'
 ""Monmouth's Rebellion, 1685 -- Juvenile fiction""
 'Bloody Assizes, 1685 -- Juvenile fiction'
 'Great Britain -- History -- Charles II, 1660-1685 -- Juvenile fiction'
 'Jeffreys, George, 1645-1689 -- Juvenile fiction'
 'Rye House Plot, 1683 -- Juvenile fiction'
 'Taunton (England) -- Juvenile fiction' 'PZ']",True
68624,32231,"Among the Wild Tribes of the Afghan Frontier
A Record of Sixteen Years' Close Intercourse with the Natives of the Indian Marches","['Afghans' 'Missions -- Asia, Central'
 'Punjab (India) -- Social life and customs'
 'Afghanistan -- Social life and customs'
 'Pennell, T. L. (Theodore Leighton), 1867-1912' 'Pushtuns'
 'Missions, Medical -- Pakistan -- North-West Frontier Province'
 'Khyber Pakhtunkhwa (Pakistan) -- Social life and customs' 'DS']",True
68951,47979,The True Life Story of Swiftwater Bill Gates,"['Klondike River Valley (Yukon) -- Gold discoveries'
 'Gates, Swiftwater Bill, -1935' 'F850.5']",True
69053,12689,"The High School Freshmen; or, Dick & Co.'s First Year Pranks and Sports","['Sports -- Juvenile fiction' 'High school students -- Juvenile fiction'
 'PZ']",True
69082,37715,"Mother-Meg; or, The Story of Dickie's Attic","['Poor children -- Fiction'
 'London (England) -- Social conditions -- 19th century -- Fiction' 'PR']",True
69213,9147,Moby Dick,"['Whaling -- Fiction' 'Sea stories' 'Psychological fiction'
 'Ship captains -- Fiction' 'Adventure stories' 'Mentally ill -- Fiction'
 'Ahab, Captain (Fictitious character) -- Fiction' 'Whales -- Fiction'
 'Whaling ships -- Fiction' 'PS']",True
69587,3753,"Peacock Pie, a Book of Rhymes","[""Children's poetry, English"" 'PR' 'PZ']",True
70179,22444,Selected Poems of Emily Dickinson,['American poetry' 'PS'],True
70250,44577,The Trial and Execution of the Sparrow for Killing Cock Robin,"['Birds -- Juvenile poetry' 'Animals -- Juvenile poetry'
 'Cock Robin (Fictitious character) -- Poetry'
 'Trials (Assassination) -- Juvenile poetry' 'PZ']",True
70321,47012,"Dick Darling's Money; or, The Rise of an Office Boy; and Other Stories",['Adventure stories -- Periodicals' 'Dime novels -- Periodicals' 'AP' 'PS'],True
70456,9830,The Beautiful and Damned,"['New York (N.Y.) -- Fiction' 'Inheritance and succession -- Fiction'
 'Psychological fiction' 'Domestic fiction' 'Married people -- Fiction'
 'Alcoholics -- Fiction' 'Young men -- Fiction' 'Socialites -- Fiction'
 'PS']",True
70461,48226,Dick Donnelly of the Paratroops,"['World War, 1939-1945 -- Juvenile fiction' 'PZ']",True
70946,62304,Black'erchief Dick,"['Historical fiction' 'Adventure stories' 'Smugglers -- Fiction'
 'Great Britain -- History -- Charles II, 1660-1685 -- Fiction'
 'Mersea Island (England) -- Fiction' 'PR']",True
70969,71493,"Diligent Dick : $b or, the young farmer","['Christian life -- Juvenile fiction' 'Country life -- Juvenile fiction'
 'Diligence -- Juvenile fiction' 'Mothers and sons -- Juvenile fiction'
 'PZ']",True
71216,71945,"Frank Merriwell's brother : $b Or, The greatest triumph of all","['Brothers -- Juvenile fiction' 'Colorado -- Juvenile fiction'
 'Yale University -- Juvenile fiction' 'Baseball stories'
 'Teamwork (Sports) -- Juvenile fiction'
 'Merriwell, Frank (Fictitious character) -- Juvenile fiction'
 'Merriwell, Dick (Fictitious character) -- Juvenile fiction' 'PZ']",True
71254,2051,"Dickory Cronke: The Dumb Philosopher, or, Great Britain's Wonder",['Didactic fiction' 'Philosophers -- Fiction' 'PR'],True
71482,44548,"The Englishman in China During the Victorian Era, Vol. 2 (of 2)
As Illustrated in the Career of Sir Rutherford Alcock, K.C.B., D.C.L., Many Years Consul and Minister in China and Japan","['Alcock, Rutherford, Sir, 1809-1897'
 'China -- Foreign relations -- Great Britain'
 'Great Britain -- Foreign relations -- China'
 'Japan -- Foreign relations -- Great Britain'
 'Great Britain -- Foreign relations -- Japan' 'DS']",True
71627,62411,"Dick Merriwell's Glory; Or, Friends and Foes","['Adventure stories' 'Football -- Juvenile fiction'
 'Boarding schools -- Juvenile fiction' 'Dime novels'
 'Merriwell, Frank (Fictitious character) -- Juvenile fiction'
 'Merriwell, Dick (Fictitious character) -- Juvenile fiction' 'PZ']",True
71680,38561,The White Peacock,"['Bildungsromans' 'Young men -- Fiction' 'Midlands (England) -- Fiction'
 'PR']",True
72235,17060,Death and Burial of Poor Cock Robin,"[""Children's poetry"" 'Nursery rhymes'
 'Cock Robin (Fictitious character) -- Poetry' 'PZ']",True
72260,23888,"The Elephant's Ball, and Grand Fete Champetre
Intended as a Companion to Those Much Admired Pieces, the Butterfly's Ball, and the Peacock ""At Home.""",['Animals -- Fiction' 'Stories in rhyme' 'Balls (Parties) -- Fiction' 'PZ'],True
72474,2065,"Dick Hamilton's Airship; Or, A Young Millionaire in the Clouds","['Millionaires -- Juvenile fiction' 'Airships -- Juvenile fiction'
 'Aeronautics -- Juvenile fiction' 'PZ' 'PS']",True
72507,20992,"Tom, Dick and Harry","['Schools -- Fiction' 'Boarding schools -- England -- Juvenile fiction'
 'Students -- Juvenile fiction' 'PZ']",True
72611,58660,Pussy and Her Language,['Cats' 'QL'],True
73094,56432,The Peacock of Jewels,"['Detective and mystery stories' 'Jewelry theft -- Fiction'
 'Murder -- Investigation -- Fiction' 'Treasure troves -- Fiction' 'PR']",True
73180,21455,Dick Cheveley: His Adventures and Misadventures,"['Adventure and adventurers -- Juvenile fiction'
 'Voyages and travels -- Juvenile fiction'
 'Seafaring life -- Juvenile fiction' 'Death -- Juvenile fiction'
 'Mutiny -- Juvenile fiction' 'Smugglers -- Juvenile fiction'
 'Castles -- Juvenile fiction' 'PZ']",True
73404,9150,"Dick Sands, the Boy Captain","['Ship captains -- Fiction' 'Adventure stories' 'Sailors -- Fiction'
 'Voyages and travels -- Fiction' 'Enslaved persons -- Fiction'
 'Whales -- Fiction' 'Cooks -- Fiction' 'PQ']",True
73486,22887,"The Courtship, Marriage, and Pic-Nic Dinner of Cock Robin & Jenny Wren
With the Death and Burial of Poor Cock Robin",['Nursery rhymes' 'Cock Robin (Fictitious character) -- Poetry' 'PZ'],True
73731,12051,Dick Sand: A Captain at Fifteen,"['Ship captains -- Fiction' 'Adventure stories' 'Sailors -- Fiction'
 'Voyages and travels -- Fiction' 'Enslaved persons -- Fiction'
 'Whales -- Fiction' 'Cooks -- Fiction' 'PQ']",True
74675,5348,"Ragged Dick, Or, Street Life in New York with the Boot-Blacks","['New York (N.Y.) -- Fiction' 'Bildungsromans' 'Boys -- Fiction'
 'Poor children -- Fiction' 'Shoe shiners -- Fiction'
 'Street children -- Fiction' 'PZ' 'PS']",True
